gt_id,date,time,tz,app,category,event_type,direction,content,notes
GT253,2019-04-04,20:22,EDT,Chrome,browsing,web_search,,Searched Commodore Amiga from URL bar,
GT254,2019-04-04,20:22,EDT,Chrome,media,picture_download,incoming,Downloaded image,
GT255,2019-04-04,20:25,EDT,Chrome,browsing,web_search,,Searched DFIR Review from URL bar,
GT256,2019-04-04,20:25,EDT,Chrome,browsing,web_visit,,Went to DFRWS.org website,
GT257,2019-04-04,20:26,EDT,Chrome,browsing,web_visit,,Went back to results then Forensic Focus article about DFIR Review,
GT258,2019-04-04,20:27,EDT,AppLock,concealment,file_vaulted,,Moved alto-running-smalltalk.jpg into the vault,
GT259,2019-04-04,20:29,EDT,GalleryVault,concealment,passcode_set,,Set passcode,
GT260,2019-04-04,20:54,EDT,GalleryVault,concealment,file_vaulted,,Added signal-2019-03-31-083856.jpg to vault,
GT261,2019-04-05,06:45,EDT,GooglePodcasts,media,download,,Downloaded Up First,NOT_RECOVERABLE_NO_SQLITE
GT262,2019-04-05,06:48,EDT,GooglePodcasts,media,subscribe,,Subscribed to The Cult Cast,NOT_RECOVERABLE_NO_SQLITE
GT263,2019-04-05,06:49,EDT,GooglePodcasts,media,download,,Downloaded The Cult Cast,NOT_RECOVERABLE_NO_SQLITE
GT264,2019-04-05,07:14,EDT,AndroidAuto,vehicle,vehicle_connect,,Connected to Vehicle,INDIRECT_ONLY
GT265,2019-04-05,07:34,EDT,AndroidAuto,media,podcast_start,,Started Podcast Up First,INDIRECT_ONLY
GT266,2019-04-05,07:48,EDT,AndroidAuto,media,podcast_start,,Started Podcast The Cult Cast,INDIRECT_ONLY
GT267,2019-04-05,07:55,EDT,Messages,messaging,message_received,incoming,Received SMS - phone sent automatic reply,
GT268,2019-04-05,07:59,EDT,Messages,messaging,message_sent,outgoing,Thank you. I will make sure to read it when I get to work.,
GT269,2019-04-05,08:00,EDT,AndroidAuto,navigation,directions_request,,I need directions to work - Route A,INDIRECT_ONLY
GT270,2019-04-05,08:13,EDT,Messages,messaging,message_sent,outgoing,This is your second test message.,
GT271,2019-04-05,08:17,EDT,AndroidAuto,vehicle,vehicle_disconnect,,Disconnected from Vehicle,INDIRECT_ONLY
GT272,2019-04-05,08:28,EDT,GooglePodcasts,media,cast,,Casted The Cult Cast to Lab Office Display,NOT_RECOVERABLE_NO_SQLITE
GT273,2019-04-05,08:49,EDT,GooglePodcasts,media,cast,,Casted The Cult Cast to Lab Speaker,NOT_RECOVERABLE_NO_SQLITE
GT274,2019-04-05,09:24,EDT,Camera,media,video_recorded,,Recorded a video,
GT275,2019-04-05,09:34,EDT,Chrome,browsing,web_visit,,Visited Silent Circle account silentcircle.com,
GT276,2019-04-05,09:34,EDT,Chrome,browsing,web_visit,,Proceeded to checkout stripe.com,
GT277,2019-04-05,10:19,EDT,GooglePodcasts,media,cast,,Casted NPR Politics Podcast to Lab Office Display,NOT_RECOVERABLE_NO_SQLITE
GT278,2019-04-05,11:01,EDT,SilentPhone,messaging,sign_in,,Signed In,NOT_RECOVERABLE_PACKAGE_ABSENT
GT279,2019-04-05,11:04,EDT,SilentPhone,messaging,message_received,incoming,Hi there!,NOT_RECOVERABLE_PACKAGE_ABSENT
GT280,2019-04-05,11:05,EDT,SilentPhone,messaging,message_sent,outgoing,Hey! How are you!,NOT_RECOVERABLE_PACKAGE_ABSENT
GT281,2019-04-05,11:06,EDT,SilentPhone,messaging,message_received,incoming,Good.,NOT_RECOVERABLE_PACKAGE_ABSENT
GT282,2019-04-05,11:07,EDT,SilentPhone,call,call_outgoing,outgoing,Outgoing Audio Call 1:25,NOT_RECOVERABLE_PACKAGE_ABSENT
GT283,2019-04-05,11:08,EDT,SilentPhone,deletion,message_deleted,,Deleted message received at 11:06,NOT_RECOVERABLE_PACKAGE_ABSENT
GT284,2019-04-05,11:09,EDT,SilentPhone,call,call_outgoing,outgoing,Outgoing Audio Call 1:35,NOT_RECOVERABLE_PACKAGE_ABSENT
GT285,2019-04-05,11:11,EDT,SilentPhone,messaging,message_sent,outgoing,Got it.,NOT_RECOVERABLE_PACKAGE_ABSENT
GT286,2019-04-05,11:12,EDT,SilentPhone,media,picture_sent,outgoing,Took and Sent Picture,NOT_RECOVERABLE_PACKAGE_ABSENT
GT287,2019-04-05,11:13,EDT,SilentPhone,media,picture_received,incoming,Received Picture,NOT_RECOVERABLE_PACKAGE_ABSENT
GT288,2019-04-05,11:14,EDT,SilentPhone,media,picture_saved,,Saved picture received at 11:13,NOT_RECOVERABLE_PACKAGE_ABSENT
GT289,2019-04-05,11:14,EDT,SilentPhone,deletion,picture_deleted,,Deleted picture received at 11:12,NOT_RECOVERABLE_PACKAGE_ABSENT
GT290,2019-04-05,11:16,EDT,SilentPhone,deletion,call_entry_deleted,,Deleted call entry for call at 11:09,NOT_RECOVERABLE_PACKAGE_ABSENT
GT291,2019-04-05,11:17,EDT,SilentPhone,media,picture_saved,,Saved picture received at 11:13,NOT_RECOVERABLE_PACKAGE_ABSENT
GT292,2019-04-05,11:20,EDT,Dust,messaging,message_received,incoming,Hello!,NOT_RECOVERABLE_PACKAGE_ABSENT
GT293,2019-04-05,11:21,EDT,Dust,messaging,message_sent,outgoing,Hi!,NOT_RECOVERABLE_PACKAGE_ABSENT
GT294,2019-04-05,11:22,EDT,Dust,media,picture_sent,outgoing,Picture Sent,NOT_RECOVERABLE_PACKAGE_ABSENT
GT295,2019-04-05,11:23,EDT,Dust,media,picture_received,incoming,Picture Received,NOT_RECOVERABLE_PACKAGE_ABSENT
GT296,2019-04-05,11:25,EDT,Dust,messaging,message_received,incoming,I got it.,NOT_RECOVERABLE_PACKAGE_ABSENT
GT297,2019-04-05,11:26,EDT,Dust,messaging,message_sent,outgoing,Good.,NOT_RECOVERABLE_PACKAGE_ABSENT
GT298,2019-04-05,11:27,EDT,Dust,deletion,picture_deleted,,Deleted picture sent at 11:22,NOT_RECOVERABLE_PACKAGE_ABSENT
GT299,2019-04-05,11:27,EDT,WickrMe,messaging,message_received,incoming,Howdy,NOT_RECOVERABLE_NO_SQLITE
GT300,2019-04-05,11:28,EDT,WickrMe,messaging,message_sent,outgoing,Hey there,NOT_RECOVERABLE_NO_SQLITE
GT301,2019-04-05,11:29,EDT,WickrMe,call,call_outgoing,outgoing,Outgoing Audio Call 1:35,NOT_RECOVERABLE_NO_SQLITE
GT302,2019-04-05,11:31,EDT,WickrMe,call,call_incoming,incoming,Incoming Audio Call 1:05,NOT_RECOVERABLE_NO_SQLITE
GT303,2019-04-05,11:32,EDT,WickrMe,media,picture_sent,outgoing,Picture Sent,NOT_RECOVERABLE_NO_SQLITE
GT304,2019-04-05,11:33,EDT,WickrMe,messaging,message_received,incoming,Got it.,NOT_RECOVERABLE_NO_SQLITE
GT305,2019-04-05,11:34,EDT,WickrMe,media,picture_received,incoming,Picture Received,NOT_RECOVERABLE_NO_SQLITE
GT306,2019-04-05,11:34,EDT,WickrMe,deletion,picture_deleted,,Deleted sent picture from 11:32,NOT_RECOVERABLE_NO_SQLITE
GT307,2019-04-05,11:37,EDT,Phone,call,call_outgoing,outgoing,Outgoing Call 1:44,
GT308,2019-04-05,11:40,EDT,Docs,productivity,document_created,,Created Test Document 9,
GT309,2019-04-05,11:42,EDT,Docs,productivity,document_created,,Created Test Document 10,
GT310,2019-04-05,11:44,EDT,Drive,productivity,document_moved,,Moved Test Document 10 to Test Folder 1,
GT311,2019-04-05,11:45,EDT,Drive,deletion,document_deleted,,Deleted Test Document 9,
GT312,2019-04-05,11:48,EDT,Gmail,messaging,email_sent,outgoing,Sent email,
GT313,2019-04-05,11:49,EDT,Gmail,messaging,email_received,incoming,Received email with picture attachment,
GT314,2019-04-05,11:50,EDT,Gmail,media,attachment_saved,,Saved attachment,
GT315,2019-04-05,11:51,EDT,WeChat,app_lifecycle,app_uninstalled,,Deleted App,RESIDUE_ONLY_COOKIES
GT316,2019-04-05,11:58,EDT,Duo,call,call_incoming,incoming,Incoming Video Call 1:58,
GT317,2019-04-05,12:01,EDT,Duo,call,call_outgoing,outgoing,Outgoing Audio Call 1:12,
GT318,2019-04-05,12:03,EDT,Google,navigation,directions_request,,Assistant - directions to the Starbucks in Garner North Carolina,
GT319,2019-04-05,12:04,EDT,Maps,navigation,directions_request,,Got directions for Starbucks Cabela Drive Garner NC,
GT320,2019-04-05,12:39,EDT,System,power,charger_on,,On charger,
GT321,2019-04-05,12:42,EDT,System,power,charger_off,,Off charger,
GT322,2019-04-05,13:04,EDT,System,power,reboot,,Phone reboot,
